Produk Makanan,Preferensi,Harga,Restoran,Rating,Lokasi,URL_Gambar
Mie Goreng Bandung,Chinese,41000,"Mie Bandung Chinese Food, Ngampilan","4,4","Jl. Bhayangkara No.38, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta ",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3-R2Bwnmq-KldUbAABrXa6XIgasGJUUY59g&s
Soto Tauco Pekalongan,Indonesia,16000,Soto tauco pekalongan bu iswi,"4,7","Jl. Pramuka No.42, Giwangan, Kec. Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta",https://www.finnafood.com/blog/wp-content/uploads/2024/05/tauto-pekalongan.jpg
Bakso Spesial,Indonesia,18000,Bakso Spesial Pak Jum,"3,6","Jl. Glagahsari No.31, Warungboto, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta",https://akcdn.detik.net.id/visual/2020/01/03/c993eff2-ea2b-412a-b7ab-69ed1011a2b7_43.jpeg?w=720&q=90
Soto Ayam Kampung,Indonesia,13000,Soto Ayam Kampung Dan Soto Daging Sapi Pak Ben,"3,8","Jl Tuntungan UH 3/1087 Tahunan, Umbulharjo, Yogyakarta","https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,q_auto:best,w_640/v1608983819/iwtinvrdf1iwfzc7y6sr.jpg"
Soto Danging Sapi,Indonesia,15000,Soto Ayam Kampung Dan Soto Daging Sapi Pak Ben,"3,8","Jl Tuntungan UH 3/1087 Tahunan, Umbulharjo, Yogyakarta",https://blog.tokowahab.com/wp-content/uploads/2020/06/Resep-Soto-Daging-yang-Empuk-dan-Lezat.jpg
Gulai Ayam Kampung,Indonesia,23000,Soto Ayam Kampung Dan Soto Daging Sapi Pak Ben,"3,8","Jl Tuntungan UH 3/1087 Tahunan, Umbulharjo, Yogyakarta",https://img.kurio.network/TCQBRrwdSJbI4mnoYVdN4_Avkh8=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/22/07/26/778419cb-d050-4164-840c-d466248160a8.jpg
B2 Panggang Campur,Indonesia,46000,Toba Tabo,5,"Jl. Ipda Tut Harsono, Muja Muju, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta",https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/7426937b-7ba5-4a40-b8ad-2541b79ac197_Go-Biz_20200709_105422.jpeg
B2 Goreng Campur,Indonesia,46000,Toba Tabo,5,"Jl. Ipda Tut Harsono, Muja Muju, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta",https://cahayameat.com/wp-content/uploads/2023/04/75231099-898943560501492-3113897181545588561-n-df2eaa3e71f01caeff7e1cc8ba137b98_600x400.jpg
Ayam Margota,Indonesia,32000,Toba Tabo,5,"Jl. Ipda Tut Harsono, Muja Muju, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta",https://dentistvschef.wordpress.com/wp-content/uploads/2014/11/ayam-pinadar-manuk-saksang-margota-namargota-napinadar-braised-chicken-blood-dinuguan.jpg
B2 Rica Rica,Indonesia,37000,Toba Tabo,5,"Jl. Ipda Tut Harsono, Muja Muju, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta",https://i.ytimg.com/vi/mSwwXJuBzZQ/mqdefault.jpg
